j1_position,ee_position_x,j1_effort,time,j2_effort,j2_position,ee_position_z,ee_position_y,j1_velocity,j2_velocity
1.569999995900722,-2.059018816287072e-09,4.0579175575317095e-07,1.162,-4.482636484226532e-10,-2.538946830554778e-11,1.1,0.0,2.065540105698942e-10,1.4825568838024868e-10
1.569999995904496,-2.055986353171821e-09,4.060681568773816e-07,1.182,-2.608580018659268e-10,-2.2668089627586596e-11,1.1,0.0,1.7292725553284387e-10,1.2531570720608907e-10
1.5699999959076214,-2.0534190734496777e-09,4.063919867292043e-07,1.202,-6.465938895416912e-11,-2.0388135624216375e-11,1.1,0.0,1.41566869680291e-10,1.0400680731578924e-10
1.5699999959101447,-2.0512863349651626e-09,4.067052472578325e-07,1.222,1.5480949855373183e-10,-1.851674369390821e-11,1.1,0.0,1.125608333005804e-10,8.441652662175103e-11
1.569999995912113,-2.0495568295374016e-09,4.0705643300498195e-07,1.242,3.5855762803294056e-10,-1.70192748782938e-11,1.1,0.0,8.59910020860661e-11,6.653738266761865e-11
1.5699999959135758,-2.0481983606444702e-09,4.073873682841622e-07,1.262,5.608846720406291e-10,-1.5861090219004836e-11,1.1,0.0,6.189746906300838e-11,5.0337025177778665e-11
1.569999995914582,-2.047177399551025e-09,4.07710842864617e-07,1.282,7.762679388179095e-10,-1.5010215292932116e-11,1.1,0.0,4.0241931764987505e-11,3.58315191246541e-11
1.5699999959151816,-2.0464615277447466e-09,4.0803982415127393e-07,1.302,9.658052135819162e-10,-1.4431122963287635e-11,1.1,0.0,2.101018337896248e-11,2.292997187030397e-11
1.5699999959154196,-2.0460169944456867e-09,4.083517524122726e-07,1.322,1.1796785770457063e-09,-1.4094503342221287e-11,1.1,0.0,4.108465797885118e-12,1.1611138350720774e-11
1.5699999959153441,-2.0458138236863904e-09,4.086776250744606e-07,1.342,1.361488699558322e-09,-1.396838200662387e-11,1.1,0.0,-1.0533237129999746e-11,1.7693807097274876e-12
1.5699999959149995,-2.0458200409353283e-09,4.089595329048734e-07,1.362,1.5438317291227577e-09,-1.4024337247064977e-11,1.1,0.0,-2.3063842137235833e-11,-6.643552205318168e-12
1.569999995914424,-2.0460063363046503e-09,4.091934791006224e-07,1.3820000000000001,1.6706636074559356e-09,-1.4233947354114207e-11,1.1,0.0,-3.357145426421523e-11,-1.3757664187609301e-11
1.5699999959136601,-2.0463465086936056e-09,4.094467875859209e-07,1.4020000000000001,1.8816947999766853e-09,-1.4571455153600255e-11,1.1,0.0,-4.21874942632113e-11,-1.9640005813078287e-11
1.5699999959127418,-2.046812802309738e-09,4.097157280114061e-07,1.422,1.9968027231698215e-09,-1.5019097077129118e-11,1.1,0.0,-4.905000267388015e-11,-2.4415570932155952e-11
1.5699999959117026,-2.0473839010878153e-09,4.0988998861735126e-07,1.442,2.120437159192079e-09,-1.5546675058430992e-11,1.1,0.0,-5.4386470455939055e-11,-2.8092197618879847e-11
1.5699999959105728,-2.0480353799586654e-09,4.1010919105133326e-07,1.462,2.2149393430481723e-09,-1.6141754599630076e-11,1.1,0.0,-5.820581859323667e-11,-3.094013888383707e-11
1.5699999959093809,-2.0487490312646843e-09,4.102637340963611e-07,1.482,2.3142376903706463e-09,-1.6781243061814166e-11,1.1,0.0,-6.074147541259784e-11,-3.293125149729937e-11
1.569999995908148,-2.0495048711540592e-09,4.104223627621195e-07,1.502,2.4169111156879808e-09,-1.745448230394686e-11,1.1,0.0,-6.214090003321862e-11,-3.412291603847395e-11
1.5699999959068993,-2.0502895767878643e-09,4.105115358754574e-07,1.522,2.5213608978447155e-09,-1.8141932400794758e-11,1.1,0.0,-6.256474031903577e-11,-3.462229151762758e-11
1.569999995905654,-2.0518820806401765e-09,4.1067194089805525e-07,1.542,2.5908164502652653e-09,-1.8836487925000256e-11,1.1,0.0,-6.205153673125989e-11,-3.461642888330899e-11
1.5699999959044248,-2.0518820806401765e-09,4.1075933765455375e-07,1.562,2.62403432316205e-09,-1.9525714378687553e-11,1.1,0.0,-6.078692978755554e-11,-3.4165876343253724e-11
1.5699999959032258,-2.052669006720031e-09,4.1084371460442526e-07,1.5819999999999999,2.7272406555312045e-09,-2.0198953620820248e-11,1.1,0.0,-5.893453085484152e-11,-3.3193621970934296e-11
1.569999995902073,-2.0534368370180717e-09,4.109238282978822e-07,1.6019999999999999,2.7213786779611837e-09,-2.085087658088014e-11,1.1,0.0,-5.649249830944285e-11,-3.2020476430594865e-11
1.5699999959009734,-2.054176245552472e-09,4.1096308578403296e-07,1.6219999999999999,2.7128521651320625e-09,-2.1476154188349028e-11,1.1,0.0,-5.367432206919297e-11,-3.051223601386956e-11
1.5699999958999324,-2.0548823473961336e-09,4.110320084294017e-07,1.642,2.807887256039976e-09,-2.206768101586931e-11,1.1,0.0,-5.05589638518024e-11,-2.8720103745154223e-11
1.5699999958989554,-2.055550701602748e-09,4.110233042808886e-07,1.662,2.8281377240091388e-09,-2.262190434976219e-11,1.1,0.0,-4.719691328994177e-11,-2.6800745347751858e-11
1.5699999958980495,-2.056177755567056e-09,4.110431994774899e-07,1.682,2.808775434459676e-09,-2.3138824190027663e-11,1.1,0.0,-4.363904407581044e-11,-2.4848246343742005e-11
1.5699999958972146,-2.0567599565753797e-09,4.110559892467336e-07,1.702,2.8210322966515378e-09,-2.361488782298693e-11,1.1,0.0,-4.001198759554315e-11,-2.2774869742824788e-11
1.5699999958964543,-2.0572964163408786e-09,4.1109702308972373e-07,1.722,2.829203538112779e-09,-2.404831889180059e-11,1.1,0.0,-3.6369185727350033e-11,-2.0643950308754403e-11
1.569999995895765,-2.0577849144175035e-09,4.1109524673288433e-07,1.742,2.8329338874755194e-09,-2.4439117396468646e-11,1.1,0.0,-3.269898876419408e-11,-1.8618653092552412e-11
1.5699999958951487,-2.058227227270514e-09,4.110861873130034e-07,1.762,2.7615243425316294e-09,-2.4790836050669895e-11,1.1,0.0,-2.912587249959189e-11,-1.6583460263948716e-11
1.5699999958946016,-2.0586233548999106e-09,4.1103449532897685e-07,1.782,2.7927882229050738e-09,-2.509992214072554e-11,1.1,0.0,-2.570453544046521e-11,-1.452807124770596e-11
1.5699999958941238,-2.058974185375692e-09,4.1104728509822053e-07,1.802,2.7489122089718876e-09,-2.5371704737153777e-11,1.1,0.0,-2.2349652157087865e-11,-1.2652256817775065e-11
1.569999995893708,-2.0592810510196985e-09,4.109822704378985e-07,1.822,2.772360119251971e-09,-2.560440748311521e-11,1.1,0.0,-1.9214839416070542e-11,-1.0804720315944855e-11
1.5699999958933564,-2.0595470604021886e-09,4.109824480735824e-07,1.842,2.7924329515371937e-09,-2.5801583092288638e-11,1.1,0.0,-1.6247200322496687e-11,-9.038534421190647e-12
1.5699999958930615,-2.0597722136315826e-09,4.1097676373169634e-07,1.862,2.737898796567606e-09,-2.596500792151346e-11,1.1,0.0,-1.3455143707937893e-11,-7.449836960898346e-12
1.56999999589282,-2.059960507456559e-09,4.109300455468201e-07,1.8820000000000001,2.680167199287098e-09,-2.609823468446848e-11,1.1,0.0,-1.0882938326639712e-11,-5.984323986054846e-12
1.5699999958926263,-2.060114606412377e-09,4.108785311984775e-07,1.9020000000000001,2.7620572495834494e-09,-2.6203039737993095e-11,1.1,0.0,-8.56993671601924e-12,-4.519497805433113e-12
1.569999995892477,-2.0602376191777155e-09,4.108936302316124e-07,1.9220000000000002,2.6988189461008005e-09,-2.6281199438926706e-11,1.1,0.0,-6.379162118926758e-12,-3.3537272915491575e-12
1.5699999958923723,-2.0603317660359936e-09,4.1086893887154474e-07,1.942,2.7045032879868813e-09,-2.6334490144108713e-11,1.1,0.0,-4.483711735592172e-12,-2.181697946365196e-12
1.5699999958922994,-2.0603974912390514e-09,4.1080516766101027e-07,1.962,2.6368240924057318e-09,-2.6370017280896718e-11,1.1,0.0,-2.7388397326637927e-12,-1.2313015054955799e-12
1.5699999958922621,-2.060442788338456e-09,4.108447804185289e-07,1.982,2.638422813561192e-09,-2.638422813561192e-11,1.1,0.0,-1.2074098304538553e-12,-3.7067065806439144e-13
1.5699999958922515,-2.0604649927989487e-09,4.1077479195905653e-07,2.002,2.638422813561192e-09,-2.638333995719222e-11,1.1,0.0,8.559819404344184e-14,4.274782595830937e-13
1.5699999958922657,-2.060470099879072e-09,4.1075578494087495e-07,2.022,2.6191493418536993e-09,-2.6368240924057318e-11,1.1,0.0,1.2417533627491081e-12,1.0479039734776354e-12
1.5699999958923003,-2.0604592196392206e-09,4.107167939082501e-07,2.042,2.5987212382005964e-09,-2.6340707393046614e-11,1.1,0.0,2.190541832529929e-12,1.6071039671580961e-12
1.5699999958923527,-2.0604350167772838e-09,4.1071164247341585e-07,2.062,2.595079706679826e-09,-2.630429207783891e-11,1.1,0.0,2.9851552754656024e-12,2.0653673869667616e-12
1.5699999958924193,-2.0603997116851007e-09,4.1068730638471607e-07,2.082,2.5906388145813253e-09,-2.6258994978434202e-11,1.1,0.0,3.6298583839274287e-12,2.435955086199483e-12
1.5699999958924975,-2.0603550807195108e-09,4.106617268462287e-07,2.102,2.567723811353062e-09,-2.6207480630091595e-11,1.1,0.0,4.1310000798569195e-12,2.7163457075354265e-12
1.5699999958925845,-2.0603031223361684e-09,4.106531115155576e-07,2.122,2.5621282873089513e-09,-2.6150637211230787e-11,1.1,0.0,4.514300678525548e-12,2.9222890533332805e-12
1.5699999958926778,-2.060245390738888e-09,4.1064378564215076e-07,2.142,2.538325105660988e-09,-2.609112925711088e-11,1.1,0.0,4.790594579003897e-12,3.0347799134371335e-12
1.5699999958927755,-2.0601838843291136e-09,4.1061625211114006e-07,2.162,2.5499602429590595e-09,-2.602895676773187e-11,1.1,0.0,4.936863717846866e-12,3.1426292633363607e-12
1.5699999958928759,-2.0601194914478954e-09,4.106063045128394e-07,2.182,2.5436541761791887e-09,-2.596589609993316e-11,1.1,0.0,5.019103808360914e-12,3.1581016252489205e-12
1.5699999958929762,-2.05998759689836e-09,4.105962680966968e-07,2.202,2.5195845410053153e-09,-2.5902835432134452e-11,1.1,0.0,5.017851958479126e-12,3.1352792175694797e-12
1.5699999958930757,-2.05998759689836e-09,4.1060408406679016e-07,2.222,2.531130860461417e-09,-2.5840662942755444e-11,1.1,0.0,4.949553968962433e-12,3.075614619262559e-12
1.5699999958931734,-2.059922315784512e-09,4.1059431410417346e-07,2.242,2.525091247207456e-09,-2.5780266810215835e-11,1.1,0.0,4.81417689013318e-12,2.9995261191839393e-12
1.5699999958932676,-2.0598583669382935e-09,4.1058481059508267e-07,2.262,2.5013768834014627e-09,-2.5721647034515627e-11,1.1,0.0,4.6477897622437434e-12,2.8560333890018355e-12
1.569999995893359,-2.0597966385381243e-09,4.1055789878896576e-07,2.282,2.5135449277513544e-09,-2.566569179407452e-11,1.1,0.0,4.417531919614089e-12,2.7360427828990297e-12
1.5699999958934443,-2.0597369085393995e-09,4.1058489941292464e-07,2.302,2.5082158572331537e-09,-2.561240108889251e-11,1.1,0.0,4.194454895352975e-12,2.5554381322803215e-12
1.5699999958935251,-2.0596809533531685e-09,4.105589646030694e-07,2.322,2.503242058082833e-09,-2.5562663097389304e-11,1.1,0.0,3.912971365843766e-12,2.4044731442809087e-12
1.5699999958936006,-2.0596281067371963e-09,4.1056917865489595e-07,2.342,2.516387098694395e-09,-2.5516477819564898e-11,1.1,0.0,3.628208382267009e-12,2.233694981651022e-12
1.56999999589367,-2.059578812834903e-09,4.105621620453803e-07,2.362,2.5121238422798342e-09,-2.5473845255419292e-11,1.1,0.0,3.3266253236835155e-12,2.0638910029970767e-12
1.5699999958937338,-2.0594917712955622e-09,4.105557671607585e-07,2.382,2.5082158572331537e-09,-2.5434765404952486e-11,1.1,0.0,3.0289625061338224e-12,1.8812831026355873e-12
1.5699999958937916,-2.0594917712955622e-09,4.1056775756942443e-07,2.402,2.504663143554353e-09,-2.540012644658418e-11,1.1,0.0,2.739754135510985e-12,1.6880457346794008e-12
1.569999995893844,-2.05945424575733e-09,4.105625173167482e-07,2.422,2.5014657012434327e-09,-2.5368152023474977e-11,1.1,0.0,2.445531004952138e-12,1.50556232723014e-12
1.5699999958938893,-2.0594200508881715e-09,4.1055789878896576e-07,2.442,2.4986235303003923e-09,-2.5340618492464273e-11,1.1,0.0,2.167354283508157e-12,1.319199681741798e-12
1.5699999958939301,-2.0593905190099265e-09,4.1057157673662914e-07,2.462,2.5139001991192345e-09,-2.531574949671267e-11,1.1,0.0,1.892246752909872e-12,1.148808806181038e-12
1.5699999958939648,-2.0593638736031254e-09,4.1056802402295034e-07,2.482,2.511768570911954e-09,-2.5294433214639866e-11,1.1,0.0,1.6240127322231273e-12,9.974481497182954e-13
1.569999995893995,-2.059341225053423e-09,4.1056500421632336e-07,2.502,2.509903396230584e-09,-2.5276669646245864e-11,1.1,0.0,1.3834166372824396e-12,8.322781550621744e-13
1.5699999958940207,-2.0593216851281897e-09,4.105802808851422e-07,2.5220000000000002,2.5083934929170937e-09,-2.5260682434691262e-11,1.1,0.0,1.1562476814780572e-12,6.919215839824474e-13
1.5699999958940412,-2.0593048097382154e-09,4.105781492569349e-07,2.542,2.524913611523516e-09,-2.524824793681546e-11,1.1,0.0,9.293228974712947e-13,5.770736893973756e-13
1.569999995894058,-2.05929148706192e-09,4.105764617179375e-07,2.5620000000000003,2.5060842290258734e-09,-2.523847797419876e-11,1.1,0.0,7.402046310798484e-13,4.3705566263704993e-13
1.5699999958940705,-2.0592806068762785e-09,4.105929818365439e-07,2.582,2.5231372546841158e-09,-2.5230484368421457e-11,1.1,0.0,5.565954470745014e-13,3.4501039306016124e-13
1.5699999958940802,-2.0592723912258963e-09,4.1059200484028224e-07,2.602,2.5225155297903257e-09,-2.5225155297903257e-11,1.1,0.0,3.992565751484544e-13,2.3085893797487385e-13
1.5699999958940865,-2.0592661739769584e-09,4.105735307291525e-07,2.622,2.5221602584224456e-09,-2.5221602584224456e-11,1.1,0.0,2.3533213488530267e-13,1.6735639441668934e-13
1.56999999589409,-2.0592621771740698e-09,4.105909390261786e-07,2.642,2.5218938048965356e-09,-2.5218938048965356e-11,1.1,0.0,1.1896466380509228e-13,6.736733327596143e-14
1.569999995894091,-2.0592597346834156e-09,4.1059085020833663e-07,2.662,2.5218049870545656e-09,-2.5218049870545656e-11,1.1,0.0,1.7580757302089975e-14,-1.529605565980713e-14
1.569999995894091,-2.059259068549601e-09,4.1059085020833663e-07,2.682,2.5575097595265106e-09,-2.5219826227385056e-11,1.1,0.0,-1.1848964882583735e-13,-1.0489304291307488e-14
1.5699999958940873,-2.05926128899565e-09,4.105912054797045e-07,2.702,2.5219826227385056e-09,-2.5219826227385056e-11,1.1,0.0,-1.5204158022111306e-13,-1.4169851242254031e-13
1.5699999958940838,-2.059263953530909e-09,4.105915607510724e-07,2.722,2.5223378941063856e-09,-2.5223378941063856e-11,1.1,0.0,-2.5165696108910657e-13,-1.3172047431199862e-13
1.5699999958940785,-2.059263953530909e-09,4.105920936581242e-07,2.742,2.5582203022622707e-09,-2.5226931654742657e-11,1.1,0.0,-3.136872684529245e-13,-1.5411714483469785e-13
1.5699999958940714,-2.059267506244588e-09,4.10628331337648e-07,2.762,2.5230484368421457e-09,-2.5230484368421457e-11,1.1,0.0,-3.375084929025595e-13,-2.079810980908097e-13
1.5699999958940642,-2.0592719471366865e-09,4.1062904188038374e-07,2.782,2.523403708210026e-09,-2.5234037082100258e-11,1.1,0.0,-3.5637106104530054e-13,-2.588548221551605e-13
1.5699999958940571,-2.059276388028785e-09,4.105942252863315e-07,2.802,2.523936615261846e-09,-2.523936615261846e-11,1.1,0.0,-4.0470772764418875e-13,-2.354898063760557e-13
1.5699999958940483,-2.0592870461698214e-09,4.106306406015392e-07,2.822,2.524469522313666e-09,-2.524469522313666e-11,1.1,0.0,-4.132610932464076e-13,-2.4314301023859426e-13
1.5699999958940394,-2.0592870461698214e-09,4.1059582400748695e-07,2.842,2.560529566153491e-09,-2.525002429365486e-11,1.1,0.0,-4.5012702462915866e-13,-2.1214469733090327e-13
1.5699999958940323,-2.0592928193295494e-09,4.1059671218590665e-07,2.862,2.525357700733366e-09,-2.525535336417306e-11,1.1,0.0,-4.1183305498075014e-13,-2.828405474817855e-13
1.5699999958940234,-2.0592977043108578e-09,4.1059760036432635e-07,2.882,2.525890607785186e-09,-2.525890607785186e-11,1.1,0.0,-4.0256178027232934e-13,-2.7875741870512206e-13
1.5699999958940145,-2.059303033381376e-09,4.1063401567953406e-07,2.902,2.5264235148370062e-09,-2.5264235148370062e-11,1.1,0.0,-3.8724577802128564e-13,-2.7093652481061327e-13
1.5699999958940074,-2.059308806541104e-09,4.105991990854818e-07,2.922,2.5269564218888263e-09,-2.5269564218888263e-11,1.1,0.0,-4.0041840709697934e-13,-2.2466145365355054e-13
1.5699999958939985,-2.0593136915224124e-09,4.105999096282176e-07,2.942,2.5273116932567063e-09,-2.5274893289406464e-11,1.1,0.0,-3.732941243071735e-13,-2.45397193827372e-13
1.5699999958939914,-2.0593194646821404e-09,4.106363249434253e-07,2.9619999999999997,2.5278446003085264e-09,-2.5278446003085264e-11,1.1,0.0,-3.414675274290445e-13,-2.2666274581513752e-13
1.5699999958939843,-2.059323905574239e-09,4.106013307136891e-07,2.982,2.5281998716764065e-09,-2.5281998716764065e-11,1.1,0.0,-3.3807121926789957e-13,-2.061810917386787e-13
1.569999995893979,-2.0593283464663374e-09,4.1060204125642485e-07,3.002,2.5285551430442865e-09,-2.5287327787282265e-11,1.1,0.0,-2.953806898318055e-13,-2.1782467462043865e-13
1.5699999958939719,-2.059332343269226e-09,4.106025741634767e-07,3.022,2.5289104144121666e-09,-2.5290880500961066e-11,1.1,0.0,-2.8294668446937e-13,-1.9132338389293634e-13
1.5699999958939665,-2.0593367841613246e-09,4.106031070705285e-07,3.042,2.5292656857800466e-09,-2.5292656857800466e-11,1.1,0.0,-2.663884524652094e-13,-1.622776267090079e-13
1.569999995893963,-2.0593398927857935e-09,4.106036399775803e-07,3.062,2.5296209571479267e-09,-2.5296209571479267e-11,1.1,0.0,-2.4618743152567744e-13,-1.3072220716284463e-13
1.5699999958939577,-2.0593425573210526e-09,4.1060417288463213e-07,3.082,2.5655033653038117e-09,-2.5299762285158067e-11,1.1,0.0,-2.2217083201075204e-13,-9.803257491415579e-14
1.5699999958939541,-2.0593461100347314e-09,4.10604528156e-07,3.102,2.5301538641997467e-09,-2.5301538641997467e-11,1.1,0.0,-1.9493823226437583e-13,-9.852796917314067e-14
1.5699999958939506,-2.0593483304807807e-09,4.106048834273679e-07,3.122,2.5303314998836868e-09,-2.5303314998836868e-11,1.1,0.0,-1.646859330891598e-13,-9.794954801447102e-14
1.569999995893947,-2.05935055092683e-09,4.106052386987358e-07,3.142,2.530509135567627e-09,-2.5305091355676268e-11,1.1,0.0,-1.3222290277476775e-13,-9.583235244442105e-14
1.5699999958939452,-2.0593541036405087e-09,4.106054163344197e-07,3.162,2.530686771251567e-09,-2.5306867712515668e-11,1.1,0.0,-1.320731092448436e-13,-5.763275240012392e-14
1.5699999958939417,-2.0593541036405087e-09,4.106412987425756e-07,3.182,2.530864406935507e-09,-2.530864406935507e-11,1.1,0.0,-9.597844077344819e-14,-5.318977928006349e-14
1.56999999589394,-2.059356324086558e-09,4.1060594924147154e-07,3.202,2.530864406935507e-09,-2.530864406935507e-11,1.1,0.0,-5.743740138653396e-14,-8.424634024230131e-14
1.56999999589394,-2.0593572122649777e-09,4.1060594924147154e-07,3.222,2.531042042619447e-09,-2.531042042619447e-11,1.1,0.0,-8.739450220149017e-14,-8.09205052462738e-15
1.5699999958939381,-2.0593585445326072e-09,4.106061268771555e-07,3.242,2.531042042619447e-09,-2.531042042619447e-11,1.1,0.0,-4.6312356953461756e-14,-3.829492026013215e-14
