rosbagTimestamp,layout,dim,data_offset,data
1143000000,,[],0,"[1.142, 1.55170366925495, -0.830445519531663, -10.0, 0.027928722699693154, 1.2674204592732985, 10.0, -0.0006325208495123922, 0.0, 1.0999954369555571]"
1162000000,,[],0,"[1.162, 1.531060483212352, -1.2144773168441028, -10.0, 0.05942886538154912, 1.8529442729719507, 10.0, -0.002165766740060054, 0.0, 1.099946558920279]"
1182000000,,[],0,"[1.182, 1.5027479928261993, -1.5974716062596837, -10.0, 0.10261689930226314, 2.436360829129361, 10.0, -0.004610440488267785, 0.0, 1.0997580133621487]"
1203000000,,[],0,"[1.202, 1.4667842532272317, -1.9796829545785721, -10.0, 0.15745339278330217, 3.0179213052049336, 10.0, -0.00796095069708765, 0.0, 1.0992785408362928]"
1223000000,,[],0,"[1.222, 1.4231823959967809, -2.3613493332171815, -10.0, 0.22390339866571463, 3.597823722763915, 10.0, -0.012205379617334117, 0.0, 1.0983018703950225]"
1242000000,,[],0,"[1.242, 1.3719510072766479, -2.742687635936627, -10.0, 0.30193526845630725, 4.176201364721473, 10.0, -0.017320311512667497, 0.0, 1.0965680006448557]"
1262000000,,[],0,"[1.262, 1.3130946006228434, -3.123888730426898, -10.0, 0.3915192451551013, 4.7531123356439595, 10.0, -0.023264330828998977, 0.0, 1.0937652474663384]"
1282000000,,[],0,"[1.282, 1.2468683881777078, -3.4468843894948042, -10.0, 0.4921096581906026, 5.210281230475625, 0.37698657279125314, -0.02997026860398294, 0.0, 1.0895335352757318]"
1302000000,,[],0,"[1.302, 1.1767892772092328, -3.525890761881498, -10.0, 0.596528637120084, 5.169909398821742, -9.656731129020017, -0.037340652793928716, 0.0, 1.083500703373101]"
1322000000,,[],0,"[1.322, 1.1063266348133745, -3.521084904738359, -10.0, 0.6976847081535205, 4.956881808513776, -10.0, -0.04530901718691142, 0.0, 1.075771407925768]"
1342000000,,[],0,"[1.342, 1.0359299476975892, -3.519165962887858, -10.0, 0.7946152377359761, 4.747222760313059, -10.0, -0.05383881091354742, 0.0, 1.0667899350121643]"
1362000000,,[],0,"[1.362, 0.9655416825656697, -3.5200864731533232, -10.0, 0.8873876118376893, 4.540880597471787, -10.0, -0.06285835971433508, 0.0, 1.0567480151691289]"
1382000000,,[],0,"[1.3820000000000001, 0.8951060285414485, -3.5237499444323843, -10.0, 0.9760668431152535, 4.337725614911198, -10.0, -0.07228669615175444, 0.0, 1.045762963642439]"
1403000000,,[],0,"[1.4020000000000001, 0.8245693184008012, -3.5300398828269923, -10.0, 1.0607151223537628, 4.137606803124241, -10.0, -0.08204351144092802, 0.0, 1.0339406071329984]"
1422000000,,[],0,"[1.422, 0.7538804049014303, -3.5388220342717305, -10.0, 1.141391418324626, 3.940354297266951, -10.0, -0.0920503581179, 0.0, 1.0213760150634756]"
1443000000,,[],0,"[1.442, 0.6829909936373824, -3.5499464867720696, -10.0, 1.21815112480264, 3.74578164013144, -10.0, -0.10223166742406924, 0.0, 1.0081542754024209]"
1463000000,,[],0,"[1.462, 0.6118704874378214, -3.5573905329833844, -8.112033820032579, 1.29103113738039, 3.5478047615714257, -10.0, -0.11251559947295942, 0.0, 0.9943512638637955]"
1482000000,,[],0,"[1.482, 0.5413971122836578, -3.4768194964374377, -2.563504359102268, 1.3591564928053188, 3.2619245712196356, -10.0, -0.12283266339417767, 0.0, 0.9800373451033123]"
1503000000,,[],0,"[1.502, 0.4734766872142533, -3.312511309149029, 1.025552868495879, 1.420628610241474, 2.8929624493846497, -10.0, -0.13300304510802852, 0.0, 0.9654697229456923]"
1522000000,,[],0,"[1.522, 0.40942854556213426, -3.096719302001321, 3.1751964723372197, 1.4741463349510848, 2.473607488175194, -10.0, -0.1427910431466683, 0.0, 0.951156964124497]"
1542000000,,[],0,"[1.542, 0.35002364230519234, -2.8528705168597948, 4.282250735009455, 1.5189627976230264, 2.0274696499641984, -10.0, -0.1521425011961199, 0.0, 0.9375131229408321]"
1563000000,,[],0,"[1.562, 0.2956378065569236, -2.59769566708265, 4.647916462953731, 1.5547280180287775, 1.571294054238699, -10.0, -0.16113486684172437, 0.0, 0.9248258686348311]"
1582000000,,[],0,"[1.5819999999999999, 0.24636767796954118, -2.342874949667322, 4.499357953901836, 1.5813703245983897, 1.1166729229780294, -10.0, -0.16991924775766043, 0.0, 0.9132665022108255]"
1602000000,,[],0,"[1.6019999999999999, 0.20211784692324208, -2.0963064264277556, 4.0065637583278, 1.599007695135616, 0.6713615135156854, -10.0, -0.17867905909757256, 0.0, 0.9029060394662218]"
1623000000,,[],0,"[1.6219999999999999, 0.1626658336840947, -1.863080729066759, 3.2955050682891027, 1.6078820369067577, 0.24028448537915104, -10.0, -0.18760254469544668, 0.0, 0.8937334368630029]"
1642000000,,[],0,"[1.642, 0.12756519515800413, -1.6740479881593042, 2.954348064188128, 1.6086142020902114, -0.114827690793599, -5.7467274134811674, -0.19686588298775662, 0.0, 0.8856731924766532]"
1663000000,,[],0,"[1.662, 0.09524669915022521, -1.5715796615619977, 4.092463136297386, 1.604318149894902, -0.28490322247561184, -1.7996987815445564, -0.20658934243981247, 0.0, 0.8785583168859983]"
1682000000,,[],0,"[1.682, 0.06459674437617835, -1.4992358821436638, 5.70360434516326, 1.5976752134067977, -0.3656298344827571, 0.5312963115766678, -0.2165471903828798, 0.0, 0.8718784124831374]"
1702000000,,[],0,"[1.702, 0.03531456205592143, -1.4322337044596658, 7.298732673575525, 1.5899118239529644, -0.40384208789654297, 2.0985913253367627, -0.22643038927409834, 0.0, 0.86527310934406]"
1722000000,,[],0,"[1.722, 0.007397594997078372, -1.3621753426887326, 8.700923855315512, 1.5816460724998818, -0.4190710793026797, 3.245982938010883, -0.23603743884939413, 0.0, 0.8586446129955392]"
1742000000,,[],0,"[1.742, -0.01906507771740884, -1.2869828952494444, 9.856078615257413, 1.5732351521170331, -0.4200479611509491, 4.118239582658312, -0.24523097838990143, 0.0, 0.8520031262365033]"
1763000000,,[],0,"[1.762, -0.04401312908269439, -1.213176512740036, 10.0, 1.564951694676398, -0.40561393937072365, 4.678279110113515, -0.2539155988729705, 0.0, 0.8454017436488952]"
1782000000,,[],0,"[1.782, -0.06756898710913006, -1.1464622820189345, 10.0, 1.5571241268681026, -0.3771960758415791, 4.904084397087516, -0.2620270135248557, 0.0, 0.8388983445707989]"
1802000000,,[],0,"[1.802, -0.0898230735281107, -1.0823511595845747, 10.0, 1.5499255460248742, -0.3439984768236004, 4.965419572997654, -0.269532414395123, 0.0, 0.8325107510143979]"
1822000000,,[],0,"[1.822, -0.11080147949893693, -1.018632058603089, 10.0, 1.5433992773885619, -0.310466892903666, 4.94987106948912, -0.2764290457484162, 0.0, 0.8262645373655184]"
1842000000,,[],0,"[1.842, -0.13050007888346649, -0.9542954931175632, 10.0, 1.537528137938975, -0.2786101761707568, 4.900842984264564, -0.28273144948596723, 0.0, 0.8201979342388004]"
1863000000,,[],0,"[1.862, -0.14890148542239956, -0.8889256005177351, 10.0, 1.5322688007012575, -0.24923545082300014, 4.839566645476268, -0.29365089422837914, 0.0, 0.8087675782518037]"
1883000000,,[],0,"[1.8820000000000001, -0.16598337614550474, -0.822395262230383, 10.0, 1.5275686204625574, -0.22256735454821786, 4.776176853967051, -0.29365089422837914, 0.0, 0.8087675782518037]"
1903000000,,[],0,"[1.9020000000000001, -0.18172249144283903, -0.7547137351454958, 10.0, 1.5233736800473183, -0.19855736907061305, 4.715282181516933, -0.2983242088536949, 0.0, 0.8034808271332814]"
1922000000,,[],0,"[1.9220000000000002, -0.196096479865556, -0.6859509538196903, 10.0, 1.5196324627656717, -0.17703735273736843, 4.658763172590064, -0.3025117416542396, 0.0, 0.7985252009127747]"
1943000000,,[],0,"[1.942, -0.2090846768982786, -0.6162003188408096, 10.0, 1.516297364424104, -0.15779486675549703, 4.607175364643723, -0.3062414569277402, 0.0, 0.7939300470306005]"
1963000000,,[],0,"[1.962, -0.22066836387223, -0.5455607544012018, 10.0, 1.5133251547694266, -0.14060934334438824, 4.560450490047607, -0.309539868206948, 0.0, 0.7897210281144758]"
1983000000,,[],0,"[1.982, -0.23083077996079737, -0.4741283705665898, 10.0, 1.510676943048245, -0.12526873380992615, 4.518244928846116, -0.3124316798839636, 0.0, 0.7859203805481836]"
2002000000,,[],0,"[2.002, -0.2395570228534627, -0.4019928751687065, 10.0, 1.5083179232783595, -0.11157650225435545, 4.480111095776884, -0.3149395437199869, 0.0, 0.7825472012192267]"
2023000000,,[],0,"[2.022, -0.24683390476091205, -0.32923630079282984, 10.0, 1.5062170347274906, -0.09935391244488262, 4.445580149164741, -0.31708388779553764, 0.0, 0.7796177289116358]"
2043000000,,[],0,"[2.042, -0.252649795878769, -0.25593282991424116, 10.0, 1.5043466029264083, -0.0884400814035271, 4.414200463023299, -0.31888279402895037, 0.0, 0.7771456050037792]"
2062000000,,[],0,"[2.062, -0.2569944702193645, -0.18214911320877086, 10.0, 1.5026819915410377, -0.07869102978525355, 4.385554185892104, -0.3203519103268754, 0.0, 0.7751421069000903]"
2082000000,,[],0,"[2.082, -0.25985896019641785, -0.1079447832407031, 10.0, 1.5012012780918473, -0.06997833486967682, 4.359263086160325, -0.32150438884549104, 0.0, 0.7736163518272285]"
2102000000,,[],0,"[2.102, -0.26126064172128416, -0.038340217344319916, 9.211147864000058, 1.499908725920224, -0.05760495530697428, 4.253399670862734, -0.322350844883753, 0.0, 0.7725754706151351]"
2123000000,,[],0,"[2.122, -0.2614431639440298, 0.015223274406884056, 8.150080603611887, 1.4989925853087902, -0.034234908109379, 3.8860203133630478, -0.3228980522762975, 0.0, 0.7720185416965615]"
2143000000,,[],0,"[2.142, -0.2606749455103392, 0.057974208213616485, 7.213467109617788, 1.498577360318742, -0.008639280641626952, 3.4179095487591127, -0.3231459727408307, 0.0, 0.7718849539363695]"
2162000000,,[],0,"[2.162, -0.2591378708133467, 0.0928188228491928, 6.359253830534328, 1.4986599773545812, 0.015267308341547492, 2.9313250473658847, -0.32311197356518323, 0.0, 0.7720993266498641]"
2182000000,,[],0,"[2.182, -0.2569739800641946, 0.12114813665779448, 5.573037448757923, 1.4991899909089366, 0.03614024603822358, 2.459659805531622, -0.32282752613114574, 0.0, 0.7726024734052099]"
2202000000,,[],0,"[2.202, -0.2543045004180682, 0.14377322152269845, 4.850448175393751, 1.500102213449365, 0.05364490437091557, 2.016716912416694, -0.32232784037384826, 0.0, 0.7733433244101058]"
2222000000,,[],0,"[2.222, -0.25123709340548217, 0.1612855868683121, 4.190348235891594, 1.5013295375455815, 0.06784315644607403, 1.6082204746564521, -0.3216478140304563, 0.0, 0.7742758997001921]"
2243000000,,[],0,"[2.242, -0.24786859636829828, 0.1741932619557194, 3.5922598761925606, 1.5028079508706735, 0.07895069838280186, 1.23637264237475, -0.3208205220529795, 0.0, 0.7753583736022538]"
2262000000,,[],0,"[2.262, -0.2442860925069228, 0.18296976481765806, 3.055444493921211, 1.5044784477846243, 0.08723983797538051, 0.9016870096420604, -0.31987668309696904, 0.0, 0.7765528498965103]"
2283000000,,[],0,"[2.282, -0.24056740583116998, 0.18806961521872373, 2.578623149435888, 1.506287685155982, 0.09299954686280631, 0.6037535633947932, -0.3188444949440916, 0.0, 0.7778253294561113]"
2303000000,,[],0,"[2.302, -0.23678143772610039, 0.18993135220554713, 2.159942816124083, 1.50818811202533, 0.09651824061255043, 0.34158262269583517, -0.31774960641194805, 0.0, 0.7791456848775331]"
2322000000,,[],0,"[2.322, -0.23298849669458832, 0.18897621748078033, 1.7970332118606436, 1.5101378647982573, 0.09807575187372605, 0.11378091072691277, -0.3166151401887095, 0.0, 0.780487584401294]"
2342000000,,[],0,"[2.342, -0.22924066992809422, 0.185605654853948, 1.4870932907038004, 1.512100547869741, 0.09793917853065157, -0.08134132673500716, -0.31546173763383384, 0.0, 0.7818283556219626]"
2362000000,,[],0,"[2.362, -0.225582245968468, 0.18019881392502177, 1.2269834654535572, 1.5140449519153405, 0.0963605031934269, -0.2456935331141885, -0.3143076176060874, 0.0, 0.7831487966745022]"
2382000000,,[],0,"[2.382, -0.22205018320714576, 0.17311047798942614, 1.013314202668969, 1.5159447351468476, 0.09357513766578957, -0.3813432933583272, -0.31316864844140907, 0.0, 0.7844329476680765]"
2402000000,,[],0,"[2.402, -0.21867461418412848, 0.16466953589703598, 0.8425274194995502, 1.5177780818234163, 0.08980103788180505, -0.49046409787392165, -0.3120584338871915, 0.0, 0.7856678355290426]"
